time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
3.712000,-300.016000,-1100.191493,-300.015865,0.000000,-16.880035,-0.292969,-0.000135,3.131104,-1.875732,-3.101528
3.714000,-300.016000,-1100.191064,-300.015895,0.000000,12.874603,-0.878906,-0.000105,3.131104,-2.247070,-3.804880
3.716000,-300.016000,-1100.191283,-300.015934,0.000000,-6.580353,-1.171875,-0.000066,3.564453,-1.761475,-3.703191
3.718000,-300.016000,-1100.191431,-300.015943,0.000000,-4.434586,-0.292969,-0.000057,3.564453,-2.185181,-3.152373
3.720000,-300.016000,-1100.191050,-300.016002,0.000000,11.444092,-1.757812,0.000002,4.193115,-1.961426,-4.126897
3.722000,-300.016000,-1100.191612,-300.016021,0.000000,-16.880035,-0.585938,0.000021,4.193115,-1.890015,-3.042209
3.724000,-300.016000,-1100.191145,-300.016051,0.000000,14.019012,-0.878906,0.000051,4.180908,-2.213745,-3.830303
3.726000,-300.016000,-1100.191417,-300.016061,0.000000,-8.153915,-0.292969,0.000061,4.180908,-1.732910,-3.584553
3.728000,-300.016000,-1100.191498,-300.016051,0.000000,-2.431870,0.292969,0.000051,3.533936,-2.175659,-3.143899
3.730000,-300.016000,-1100.191154,-300.016080,0.000000,10.299683,-0.878906,0.000080,3.533936,-1.899536,-4.059104
3.732000,-300.016000,-1100.191698,-300.016090,0.000000,-16.307831,-0.292969,0.000090,3.033447,-1.880493,-2.940520
3.734000,-300.016000,-1100.191188,-300.016119,0.000000,15.306473,-0.878906,0.000119,3.033447,-2.166138,-3.821829
3.736000,-300.016000,-1100.191522,-300.016148,0.000000,-10.013580,-0.878906,0.000148,3.308105,-1.685303,-3.440493
3.738000,-300.016000,-1100.191531,-300.016148,0.000000,-0.286102,0.000000,0.000148,3.308105,-2.161377,-3.118476
3.740000,-300.016000,-1100.191226,-300.016178,0.000000,9.155273,-0.878906,0.000178,3.961182,-1.818604,-3.974363
3.742000,-300.016000,-1100.191765,-300.016168,0.000000,-16.164780,0.292969,0.000168,3.961182,-1.866211,-2.804934
3.744000,-300.016000,-1100.191207,-300.016197,0.000000,16.736984,-0.878906,0.000197,4.132080,-2.094727,-3.804880
3.746000,-300.016000,-1100.191617,-300.016188,0.000000,-12.302399,0.292969,0.000188,4.132080,-1.628174,-3.245588
3.748000,-300.016000,-1100.191517,-300.016188,0.000000,3.004074,0.000000,0.000188,3.533936,-2.137573,-3.101528
3.750000,-300.016000,-1100.191283,-300.016217,0.000000,7.009506,-0.878906,0.000217,3.533936,-1.718628,-3.847251
3.752000,-300.016000,-1100.191793,-300.016197,0.000000,-15.306473,0.585938,0.000197,2.850342,-1.861450,-2.669348
3.754000,-300.016000,-1100.191193,-300.016227,0.000000,18.024445,-0.878906,0.000227,2.850342,-2.009033,-3.813354
3.756000,-300.016000,-1100.191693,-300.016227,0.000000,-15.020370,0.000000,0.000227,2.899170,-1.575806,-3.025261
